learner_id,enrolled_at,unenrolled_at,role,fully_participated_at,purchased_statement_at,gender,country,age_range,highest_education_level,employment_status,employment_area,detected_country
480d5ab0-b755-4ea7-8374-100c25b920c4,2018-03-26 12:41:18 UTC,2018-10-19 09:57:54 UTC,learner,,,male,GB,46-55,tertiary,working_full_time,it_and_information_services,GB
46a4c71e-8819-4c5a-8164-2f786186b9fb,2018-01-02 20:57:49 UTC,2018-10-19 10:31:15 UTC,learner,,,female,GR,26-35,university_masters,full_time_student,accountancy_banking_and_finance,GR
afaf7031-a708-49f6-a823-37eb8e4bc721,2018-03-31 01:03:01 UTC,2018-10-14 04:09:49 UTC,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,VE
41ad5273-6853-43d7-b615-06f8e808cea1,2018-09-10 12:08:49 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,--
570b9fe6-843b-4c5c-b6cf-947af560b282,2018-02-08 06:26:34 UTC,2018-10-09 17:57:23 UTC,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,GB
c5cdc1a2-6ef9-4a86-b2f2-cfa0b6410258,2018-01-29 03:53:53 UTC,2018-10-06 20:25:49 UTC,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,--
e56421f7-af47-455c-b3c8-cfb3c99f7fed,2018-02-06 19:23:19 UTC,2018-10-04 01:00:58 UTC,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,--
aef070af-60ce-411a-bca4-b2cc0b2d08bc,2018-02-09 05:56:43 UTC,2018-10-03 05:00:00 UTC,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AU
b7496b80-1804-471f-a6bc-db3cbe7989d5,2018-02-06 17:03:40 UTC,,learner,,,female,US,56-65,university_degree,self_employed,hospitality_tourism_and_sport,US
6af2c166-0ed3-4ec5-bd5e-33906c54086d,2018-01-03 17:21:53 UTC,2018-09-26 17:48:56 UTC,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,FR
3b09904c-3867-4b7e-ab6e-820c0556fbd7,2018-03-22 16:33:17 UTC,2018-09-07 16:12:09 UTC,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,LK
a760697e-db90-455f-b448-69cfa1508336,2018-01-06 12:54:14 UTC,2018-09-07 21:56:23 UTC,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,GB
f61cebdf-05fd-47b7-81f2-42cf2b096a2f,2018-03-06 18:31:03 UTC,,learner,,2018-04-09 09:23:01 UTC,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,GB
3340b9ab-10a2-4c75-bc43-f33a8bd2799d,2018-02-23 10:38:43 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,IN
8afc7337-665a-4dc3-b790-b15ee95ac5f0,2018-03-26 20:15:09 UTC,2018-08-16 20:42:22 UTC,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,GB
0ac2197c-64e7-4f33-8ac8-f920b82f1835,2018-01-23 20:28:00 UTC,2018-08-03 21:09:16 UTC,learner,,,female,EE,Unknown,university_masters,full_time_student,Unknown,EE
d751fd4e-0940-49bb-9340-eb3c10c3d885,2018-02-08 16:32:52 UTC,2018-07-29 12:55:55 UTC,learner,,,female,DE,26-35,university_masters,full_time_student,science_and_pharmaceuticals,DE
c62f4e04-d9fa-47a6-a6d3-a0b9b7ca14e5,2017-12-28 08:23:42 UTC,2018-07-24 14:09:37 UTC,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,--
d55a68b0-af58-4190-bc35-23093b18087f,2018-02-09 15:27:47 UTC,2018-07-22 02:03:24 UTC,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AU
12f69ebb-fe79-4c4a-9e17-615b43169a7c,2018-02-22 19:40:39 UTC,2018-07-17 08:35:22 UTC,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,GB
3657a18b-4c80-4542-957f-bb72d97d5e72,2018-01-21 21:41:02 UTC,2018-07-13 14:55:08 UTC,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,GB
7eb59129-9329-47e5-a96c-70708c89f743,2018-03-08 09:40:55 UTC,,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,GB
9c2580d2-dbcc-4feb-808f-ade404e88d82,2018-02-18 21:11:07 UTC,2018-07-08 16:26:09 UTC,learner,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,GB
