learner_id,step,week_number,step_number,first_visited_at,last_completed_at
f27eec8c-eaf1-4e6a-90f0-d6d5b653285d,1.1,1,1,2018-05-15 09:39:11 UTC,2018-06-18 09:54:35 UTC
20e6ec35-0f50-4819-9c2e-d1851fd54638,1.1,1,1,2018-06-08 08:07:38 UTC,
64dbda43-e4b2-448e-9027-6591bc7d3adc,1.1,1,1,2018-06-11 00:20:28 UTC,
b49e54fb-90eb-4816-9e0f-f0a24706ed9b,1.1,1,1,2018-06-11 00:23:52 UTC,
6ffbff85-fe97-4fee-994d-17a32bdf867c,1.1,1,1,2018-06-11 00:29:17 UTC,2018-06-11 00:31:43 UTC
e5825b2d-9118-401c-8e11-da0d68ee3518,1.1,1,1,2018-06-11 00:35:02 UTC,
bcedf6e8-b3eb-4a7d-bbdc-49dbd55c0949,1.1,1,1,2018-06-11 01:16:18 UTC,
21d8b982-7a02-4185-a535-15da1275506a,1.1,1,1,2018-06-11 01:29:29 UTC,2018-06-11 01:38:56 UTC
071438f0-3a56-431a-9573-076adf8d439e,1.1,1,1,2018-06-11 01:37:56 UTC,
1e524488-26de-4101-8545-bf082a777671,1.1,1,1,2018-06-11 02:07:00 UTC,2018-06-13 08:52:16 UTC
087c0137-9db6-4cac-9dbd-0002c331bd04,1.1,1,1,2018-06-11 02:12:46 UTC,
b89dd8da-585e-4b2c-953b-c6d475e07099,1.1,1,1,2018-06-11 03:14:40 UTC,2018-06-11 03:14:54 UTC
0dcd80f9-cb77-45ef-8555-649400e535a5,1.1,1,1,2018-06-11 03:20:56 UTC,2018-06-11 03:23:04 UTC
415b6cdb-6fbd-47f4-bebf-63c0b5ea7b65,1.1,1,1,2018-06-11 03:35:11 UTC,2018-06-11 03:36:53 UTC
a0123243-989b-42ad-a7cc-978a96ba56e0,1.1,1,1,2018-06-11 03:55:28 UTC,2018-06-11 03:58:25 UTC
29e3379f-61dd-49b8-87a4-09579a6632a4,1.1,1,1,2018-06-11 04:05:04 UTC,2018-06-11 04:22:55 UTC
35fd382a-3ff3-4020-a20a-e0da6430cda6,1.1,1,1,2018-06-11 04:40:45 UTC,2018-06-11 04:50:03 UTC
5f7a8eae-c00a-4fb8-8ddf-d35317fef912,1.1,1,1,2018-06-11 05:08:28 UTC,2018-06-11 05:24:05 UTC
3df344b4-2247-48da-9ffe-c536a6cebdee,1.1,1,1,2018-06-11 05:17:26 UTC,
c70eb88e-a3a5-4a0f-86cc-10468d28803e,1.1,1,1,2018-06-11 05:44:55 UTC,
34569d36-1c3f-4f80-a66f-72c121d3dd6a,1.1,1,1,2018-06-11 06:09:40 UTC,2018-06-11 06:16:57 UTC
0f194058-bfaa-40f4-bee5-fcf36f36ed53,1.1,1,1,2018-06-11 06:12:44 UTC,
fdc2b878-1f03-4b3c-93c1-876974d65d3d,1.1,1,1,2018-06-11 06:29:32 UTC,2018-06-11 06:39:35 UTC
cd740610-b74c-4a20-8fc5-38ba7790cf6e,1.1,1,1,2018-06-11 06:33:33 UTC,2018-06-11 06:34:18 UTC
13578e37-e1f2-4003-b3b2-ed9d4f6dacd2,1.1,1,1,2018-06-11 07:04:29 UTC,2018-06-11 07:09:07 UTC
b2805f90-d469-446f-9d88-cd34a305cf84,1.1,1,1,2018-06-11 07:07:29 UTC,2018-06-11 07:17:34 UTC
e0583ed1-f581-4eee-8f0a-016f5ec4d67c,1.1,1,1,2018-06-11 07:27:06 UTC,2018-06-11 07:30:21 UTC
c9ba1969-0071-4bed-a5af-75bbd674c93b,1.1,1,1,2018-06-11 07:35:39 UTC,
90ef5521-31b1-40f1-be92-a5e5dd2ef124,1.1,1,1,2018-06-11 07:39:19 UTC,
daea8488-f009-46c4-8a89-0ee7c84003c6,1.1,1,1,2018-06-11 08:04:22 UTC,2018-06-11 08:20:02 UTC
b02e817f-a848-46f4-8af6-35a1b14ee033,1.1,1,1,2018-06-11 08:14:47 UTC,2018-06-11 08:15:46 UTC
ad21c164-5b27-4c3d-af01-eeb6310d1252,1.1,1,1,2018-06-11 08:16:08 UTC,2018-06-11 08:18:51 UTC
2e4ed8e1-1e1f-45a1-b0f3-23c312881288,1.1,1,1,2018-06-11 08:17:18 UTC,
b2de927a-ace6-438c-b62a-d3f0a85fd6e9,1.1,1,1,2018-06-11 08:17:56 UTC,2018-06-13 14:03:01 UTC
126e9422-ab20-41f6-9dca-935de30266e8,1.1,1,1,2018-06-11 08:19:54 UTC,
0174970c-d89c-4eed-b28b-ed44441d522c,1.1,1,1,2018-06-11 08:23:02 UTC,2018-06-11 08:24:02 UTC
032ffa04-51e9-403c-adbd-b557a8a85599,1.1,1,1,2018-06-11 08:33:28 UTC,2018-06-11 08:40:43 UTC
5fbeb6f7-da1c-464e-b5d8-38951108807a,1.1,1,1,2018-06-11 08:36:48 UTC,2018-06-11 09:04:38 UTC
baf795f6-b07e-42b9-9c13-ec941f9ec74b,1.1,1,1,2018-06-11 08:38:03 UTC,2018-06-11 08:39:44 UTC
6a3d47c6-2dc9-41ce-a779-9bfe33d83602,1.1,1,1,2018-06-11 08:49:15 UTC,
72e131fa-98ea-4f34-a70f-fa45d9ff6d3f,1.1,1,1,2018-06-11 09:02:50 UTC,
b94feba9-54b7-44d7-bcf1-faee32ea3cd8,1.1,1,1,2018-06-11 09:36:43 UTC,2018-06-11 09:41:26 UTC
419088bb-1815-4b06-8153-9a5a652e2e23,1.1,1,1,2018-06-11 09:40:30 UTC,2018-06-11 09:41:45 UTC
77ee5192-cde9-4fb1-8a27-fdf928b02575,1.1,1,1,2018-06-11 09:41:56 UTC,2018-06-11 09:54:12 UTC
b4704948-6c94-4d0c-880c-bac1e3455dc9,1.1,1,1,2018-06-11 09:43:59 UTC,2018-06-11 09:47:49 UTC
651bef9e-db89-40d5-8b8a-e2ec8c95aed2,1.1,1,1,2018-06-11 09:45:52 UTC,2018-06-11 09:49:08 UTC
38551e92-7d33-4ad5-98fb-81202bb44a08,1.1,1,1,2018-06-11 09:48:20 UTC,2018-06-11 09:56:03 UTC
cf1fbb67-d9ea-47d3-b9b0-0209769a0705,1.1,1,1,2018-06-11 09:55:59 UTC,2018-06-11 10:01:01 UTC
38f63d08-08e7-4c6a-8d3b-5626087c4384,1.1,1,1,2018-06-11 09:57:50 UTC,
667d5f47-5f9a-4a33-81b5-8be0c39a5443,1.1,1,1,2018-06-11 09:58:47 UTC,2018-06-11 09:58:55 UTC
2de19c10-37dc-4cb1-8f2e-c834b0d9846e,1.1,1,1,2018-06-11 10:00:06 UTC,2018-06-11 10:01:02 UTC
93d5e658-0112-490a-ab02-00d654d2110b,1.1,1,1,2018-06-11 10:00:40 UTC,2018-06-20 18:54:05 UTC
3e623cbe-b0e4-4fb6-a385-96beecea24e3,1.1,1,1,2018-06-11 10:21:10 UTC,2018-06-11 10:23:57 UTC
9ea0299b-6597-40e9-9c08-e17fe1a459dd,1.1,1,1,2018-06-11 10:22:04 UTC,2018-06-11 10:23:56 UTC
b6543173-e1ca-492b-ba0a-899140f49bb3,1.1,1,1,2018-06-11 10:27:46 UTC,2018-06-11 10:31:26 UTC
0a0cd40f-8ecb-45d0-bdb7-1327813cfd38,1.1,1,1,2018-06-11 10:42:43 UTC,2018-06-11 10:45:14 UTC
ea790b0c-deb0-49a5-b5aa-a872227d6c65,1.1,1,1,2018-06-11 10:53:35 UTC,
